#CP_price,FF_price,FF-CP-delta,slo_local_ff,slo_remote_ff
376825,204800,-172025,1,1
345500,819200,473700,0,0
1263975,2867200,1603225,0,0
143225,204800,61575,1,0
1757975,1638400,-119575,1,1
1640000,1638400,-1600,1,0
1514675,1638400,123725,1,0
3055375,2304000,-751375,1,1
79425,51200,-28225,1,1
144150,102400,-41750,1,1
441350,204800,-236550,1,1
102925,51200,-51725,1,1
3124350,1638400,-1485950,1,1
1404075,819200,-584875,1,1
1278725,819200,-459525,1,1
290200,204800,-85400,1,1
3545475,4915200,1369725,0,0
121850,51200,-70650,1,1
110075,102400,-7675,1,0
1411450,1638400,226950,1,0
1293475,819200,-474275,1,1
1168125,1638400,470275,1,0
134300,51200,-83100,1,1
245125,204800,-40325,1,0
193000,102400,-90600,1,1
354725,204800,-149925,1,1
325225,204800,-120425,1,1
1175500,1484800,309300,1,0
1794850,819200,-975650,1,1
417375,204800,-212575,1,1
387900,819200,431300,0,0
181350,409600,228250,0,0
2861825,4608000,1746175,0,0
310475,409600,99125,1,0
450550,409600,-40950,1,1
